ts	phase	decision	why	evidence	result
2026-08-29T22:33:01Z	frame	Defined completion as full Vitest execution with no Bun test runner references and preserved CLI isolation	The test runner is a repository-wide trust boundary, so partial migration could produce false green results	package.json, packages/cli/package.json	baseline green
2026-08-29T22:33:01Z	frame	Resolved the requested mock package to vitest-mock-extended 5.1.1	The npm registry returns 404 for vitest-extended-mock and publishes the typed mock library under this name	https://www.npmjs.com/package/vitest-mock-extended	verified
2026-08-29T22:33:01Z	baseline	Ran the existing root test command before changing dependencies	The migration needs an executable behavior pin, not only static checks	bun run test	7 Turbo tasks green
2026-08-29T22:49:17Z	design	Kept root scripts first and Turbo-owned package suites, with a dedicated CLI config	This preserves focused package commands and keeps CLI isolation visible	package.json, packages/cli/vitest.config.ts	VERIFIED
2026-08-29T22:49:17Z	runtime	Disabled the Vite module runner and Node loader while running Vitest through Bun	Vitest 4.1.11 otherwise resolves workspace Zod imports incorrectly under Bun	package.json, packages/*/package.json	VERIFIED
2026-08-29T22:49:17Z	migration	Replaced all Bun test imports and mock APIs, then added a rerunnable migration contract	The repository needs one test framework and a durable guard against regression	scripts/verify-vitest-migration.ts	VERIFIED
2026-08-29T22:49:17Z	verification	Ran the root Vitest and Turbo test gate, lint, typecheck, the migration contract, and diff check	The real package, Bun runtime, CLI, browser, SQLite, and subprocess paths must all execute	bun run test	7 Turbo tasks green
2026-08-29T22:45:20Z	design	kept package-owned Vitest scripts with a small root scripts config	Turbo already owns package selection and caching, and package scripts are the focused command seam	package.json, packages/*/package.json, vitest.config.ts	guard green
2026-08-29T22:45:20Z	verify	added a Vitest migration guard before the root test command	the old runner contract should fail before package tests start	scripts/verify-vitest-migration.ts, bun scripts/verify-vitest-migration.ts	verified
2026-08-29T23:16:50Z	runtime	Retained one serial Vitest config for non-CLI packages	Default file parallelism reproduced two Studio timeout failures; serial execution made the focused Studio suite deterministic	vitest.package.config.ts, bun run --cwd packages/studio test	21 files and 120 tests green
